station,January,February,March,April,May,June,July,August,September,October,November,December
Turaif,21,25,28,35,39,41,42,43,39,34,29,18
Arar,24.2,27.4,34.2,41.1,45.1,46.3,47.8,48.1,43.8,38.3,32.1,23.2
Guriat,22.2,29.6,30,37.2,42.6,43,44,45,40,36.2,30.6,21.8
Al-Jouf,24.6,30.1,34,39.5,43,44.9,45.8,47.2,43.2,37.5,31,23.8
Raffia,28,29.2,33.8,41.3,43.6,46,48.2,48.3,46,37.9,33.9,23.8
Qaisumah,27,33,36,43,46,48.4,50,49,48,39,37,30
Tabuk,27,30.8,34.8,38,43,42.6,43,44,42.4,37.5,32.4,25.2
Hail,26,29.6,31.2,37,40.2,43,43.2,43.4,42.6,35.6,32.8,26.4
Wejh,28.5,35,37.6,37,42,45,39.6,36.8,35.6,36.5,39,30.6
Qassim,28,32,36.2,40.2,44,46,48.2,48.2,46.2,38,35.4,30
Dmmam-KFIA,28,31.4,34.1,41.3,46.3,48.8,48.6,49,48.8,39.7,35.4,31.5
Al-Ahsa,29,33.5,38.1,40.5,47,48.4,49.5,50,48.9,39.5,36.3,32.9
Madinah,28.4,32.5,37.3,38.5,43,44.9,47,46.1,45.4,39.4,35.6,32
Yenbo,32,36,37,41,46,47.4,47,47,47,39.6,39,33.3
Makkah,34.4,40,42.4,43,48.2,49,45.2,45,47.4,44.4,40.6,36.4
Taif,26,30,34,32,38,39,40,39,38,35,31,30
Al-Baha,27,31,32.8,30.2,36.2,37.6,38.7,38.6,37.6,32,29.2,29
Wadi-Aldawasir,33,36,41,38,44,46,47,48,45,39,33,34
Bisha,33,35,38,34,39,41,42,41,40,35,31,31
Abha,23,28.2,29.5,31.1,32.9,34,34.7,33.7,33.3,30.1,27.9,26.6
Khamis Mushait,23,28.4,29,31.2,33,36.2,35,34,33.5,29.5,29,27
Najran,33,38,39,36,40,42,42,41,41,34,32,34
Sharorah,36,38,42,39,44,45,45,45,44,39,34,35
Jizan,33,33,35,38.6,40.4,43.1,40.5,40,41.8,39.9,37,34.4
